lat,lon,file,offset,enc
20.8204001,118.1638028,068_pre_free@0xb40000750cdf79b0_325200.bin,0xcad8,double
24.0929374,119.0869902,068_pre_free@0xb40000750cdf79b0_325200.bin,0x1bd28,double
24.8892403,118.0532369,068_pre_free@0xb40000750cdf79b0_325200.bin,0x1ebf0,double
25.3284950,123.1432038,068_pre_free@0xb40000750cdf79b0_325200.bin,0x204c,double
25.5549355,118.0532369,068_pre_free@0xb40000750cdf79b0_325200.bin,0x1afa0,double
25.7235984,124.4355921,068_pre_free@0xb40000750cdf79b0_325200.bin,0xd160,double
20.0294220,123.0486994,068_pre_free@0xb40000750cdf79b0_325200.bin,0x38646,int7
20.0555684,122.0165790,068_pre_free@0xb40000750cdf79b0_325200.bin,0x25daa,int7
20.0556478,121.5086464,068_pre_free@0xb40000750cdf79b0_325200.bin,0x5186,int7
20.1516223,118.1280064,068_pre_free@0xb40000750cdf79b0_325200.bin,0x1f41f,int7
20.1809984,119.2154303,068_pre_free@0xb40000750cdf79b0_325200.bin,0x61ef,int7
20.2090560,120.9624255,068_pre_free@0xb40000750cdf79b0_325200.bin,0x3cc87,int7
20.2108480,123.1848254,068_pre_free@0xb40000750cdf79b0_325200.bin,0x43773,int7
20.2129583,121.8265087,068_pre_free@0xb40000750cdf79b0_325200.bin,0x1d966,int7
20.3701921,119.9161216,068_pre_free@0xb40000750cdf79b0_325200.bin,0x46f06,int7
20.3851968,121.8338624,068_pre_free@0xb40000750cdf79b0_325200.bin,0x43b3b,int7
20.4193584,123.9531710,068_pre_free@0xb40000750cdf79b0_325200.bin,0x1aefe,int7
20.4259048,118.0024430,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4862a,int7
20.5396516,123.7236324,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4459d,int7
20.5401393,122.8898304,068_pre_free@0xb40000750cdf79b0_325200.bin,0x4ea4d,int7
20.5402032,121.2029036,068_pre_free@0xb40000750cdf79b0_325200.bin,0x1589d,int7
20.5404754,123.7286598,068_pre_free@0xb40000750cdf79b0_325200.bin,0x2eb1d,int7
